ID,Date,Arrest,Community Area,Latitude,Longitude
9714421,7/29/2014 5:30,FALSE,15,41.95827333,-87.77465617
9695030,7/14/2014 21:00,FALSE,1,42.00125104,-87.67155017
9743683,8/16/2014 16:00,FALSE,7,41.91711739,-87.63511586
9638810,6/4/2014 4:00,FALSE,31,41.85939899,-87.67099213
9706932,7/23/2014 0:01,FALSE,61,41.79713383,-87.64386815
9719529,8/1/2014 0:01,FALSE,3,41.95556337,-87.64870353
9712238,7/26/2014 21:00,FALSE,17,41.94517533,-87.82798924
9788246,9/21/2014 19:40,FALSE,24,41.89793033,-87.68921313
9882648,12/8/2014 2:30,FALSE,25,41.88122847,-87.77454563
9882213,12/7/2014 12:00,FALSE,5,41.9450988,-87.68835995
9882076,12/7/2014 8:30,FALSE,72,41.7034701,-87.68138371
9882154,12/6/2014 20:00,FALSE,22,41.9182314,-87.7079389
9879400,12/2/2014 23:00,FALSE,38,41.81565866,-87.62285864
9875465,11/26/2014 17:00,FALSE,60,41.83540039,-87.64119716
9873416,9/1/2014 13:00,FALSE,51,41.71218288,-87.55153654
9864371,11/19/2014 16:00,FALSE,59,41.82490146,-87.66635439
9859536,11/14/2014 0:00,FALSE,12,41.99156462,-87.74847588
9859195,11/14/2014 17:00,FALSE,23,41.8910846,-87.70778876
9855842,11/11/2014 18:00,FALSE,18,41.93474436,-87.79299884
9854012,11/10/2014 22:00,FALSE,6,41.95374185,-87.6511163
9856303,10/21/2014 16:00,FALSE,8,41.89659669,-87.62670046
9846484,11/4/2014 21:00,FALSE,2,41.99410134,-87.68288456
9844558,11/3/2014 7:30,FALSE,75,41.68411465,-87.66283886
9844357,10/23/2014 5:30,FALSE,32,41.88287287,-87.63254001
9841405,10/27/2014 19:30,FALSE,24,41.89603706,-87.67618197
9835432,10/27/2014 18:00,FALSE,24,41.89582538,-87.67563686
9835599,10/27/2014 20:00,FALSE,24,41.89582538,-87.67563686
9841298,10/26/2014 6:30,FALSE,24,41.90928033,-87.67371699
9833163,10/26/2014 13:30,FALSE,56,41.7994061,-87.785537
